AREA,PERIMETER,RSA_,RSA_ID,MSLINK,ADMIN_BOUN,xcoord,ycoord
58742457025.078552246093750,1155935.020130000077188,"2","420","21000",RSA16,-98.4390312216684,53.4258177360903
7422035509.842769622802734,425585.007359999988694,"3","426","21007",RSA08,-101.12135503727,52.4012711038459
51139394131.009742736816406,1344702.366889999946579,"4","421","21002",RSA14,-96.0360833577381,50.9955738907804
24634663974.489898681640625,1119706.336959999985993,"5","425","21006",RSA09,-99.9594693198645,51.6199146564265
41395550085.757568359375000,860364.155490000033751,"6","437","21001",RSA15,-98.0262072230872,51.648362046879
3759305869.014560222625732,334495.479509999975562,"7","0","0",,-100.985540465927,51.6440300560512
5113111617.479969978332520,666777.013829999952577,"8","431","21012",RSA03,-101.109694153678,50.1055153466082
3058915789.839680194854736,365307.878859999997076,"9","0","0",,-100.205051679243,50.8311370877656
3244607787.370920181274414,390975.175690000003669,"10","427","21008",RSA07,-100.945824035053,50.6199303692496
6260711364.055950164794922,564810.507579999975860,"11","428","21009",RSA06,-100.137538126706,50.3113401246819
6320033222.166319847106934,749772.074699999997392,"12","430","21011",RSA04,-99.6854918194991,49.8783073564142
7302801139.059329986572266,796891.651180000044405,"13","423","21004",RSA11,-98.1609477899306,50.2594136674258
3149922677.160510063171387,473196.425500000012107,"14","424","21005",RSA10,-98.6275524639921,49.9113231003771
11729598788.832860946655273,967891.082760000019334,"15","422","21003",RSA12,-97.4203828898827,49.5855241638341
3641922604.195340156555176,406718.015409999992698,"16","433","21014",RSA01,-101.032646868893,49.3927876762138
6665772410.353489875793457,495575.574130000022706,"17","429","21010",RSA05,-98.8836692837894,49.3683109582009
5943998751.127710342407227,451853.543270000023767,"18","432","21013",RSA02,-100.071780372276,49.2191380786987
