ADMIN_BOUN,year,Canola WEIGHTED AVERAGE YIELD ,Canola TOTAL ACREAGE ,Wheat WEIGHTED AVERAGE YIELD ,Wheat TOTAL ACREAGE ,Soybean WEIGHTED AVERAGE YIELD ,Soybean TOTAL ACREAGE ,Barley WEIGHTED AVERAGE YIELD,Barley TOTAL ACREAGE ,
RSA01,2018,37,118 495,51.4,118740,25.4,69374,63.9,9453,
RSA02,2018,44.5, 315 207,63.8,310341,27.5,154475,74,20054,
RSA03,2018,42.1, 144  349,59.7,122823,29.6,32775,67.5,14974,
RSA04,2018,44.1, 189  100,58.9,183004,32.2,107356,65.2,17263,
RSA05,2018,47.6, 312  608,68.6,286432,36.6,118876,73.9,25993,
RSA06,2018,49, 338  141,64.3,259307,31.9,87905,81.2,29401,
RSA07,2018,48.3, 176 080,68,151606,29.2,17326,83.4,10664,
RSA08,2018,48.4, 238 072,70,110688,38.8,35950,72.3,2406,
RSA09,2018,45.7, 391 553,60.7,246502,34,139625,66.1,18517,
RSA10,2018,43, 71 611,56.5,54621,32.2,92318,71.4,9472,
RSA11,2018,41.6, 176 677,62.8,200147,31.3,177801,75.5,28258,
RSA12,2018,49.3, 485 221,67.5,504120,31,602632,84.4,36726,
RSA14,2018,46.7, 59 487,71.4,76656,39.3,130693,83.9,5922,
RSA15,2018,36.5, 72 079,52.1,68433,26.8,74273,62.8,6691,
RSA16,2018,18, 30 827,37.2,6302,NA,NA,NA,NA,
RSA01,2017,36.2, 120 910,46.3,91188,31.9,73770,65.5,8540,
RSA02,2017,46.1, 307 010,63.3,278115,37.2,203438,79.8,16008,
RSA03,2017,40, 146 178,54.7,117196,32.2,48315,68.9,12523,
RSA04,2017,45.4, 201 153,64.3,160292,38.1,113969,79.1,20196,
RSA05,2017,47.6, 324 810,71.5,248076,38.2,136727,88.9,24369,
RSA06,2017,46.2, 344 197,67.2,254986,33.8,90958,82.4,35736,
RSA07,2017,45.2, 196 062,64.5,142878,32.4,19580,80.8,11396,
RSA08,2017,49.3, 240 310,74.3,108162,35.6,36526,76.9,2235,
RSA09,2017,45.5, 389 641,66.1,202808,34.1,157823,72.8,13952,
RSA10,2017,45.8, 65 754,68.4,40505,35.4,115355,87.9,6868,
RSA11,2017,47.4, 155 053,76.3,178692,35.6,209679,98.1,28794,
RSA12,2017,53.4, 407 552,79.9,411811,33.3,759883,103.7,37155,
RSA14,2017,52.9, 46 211,71.8,61447,30.2,168099,88.9,4474,
RSA15,2017,44.3, 61 035,69.4,48560,29.5,83347,75.4,6415,
RSA16,2017,NA,NA,NA,NA,NA,NA,NA,NA,
RSA01,2016,34.2,116067,45.2,131138,38.2,42978,67.8,16334,
RSA02,2016,38.1,318946,55.3,317524,42.9,128525,78.7,27338,
RSA03,2016,36.7,143649,47.8,127926,32.7,27185,65,15407,
RSA04,2016,40.6,193238,53.8,180584,43,77293,66.5,25256,
RSA05,2016,37.8,323133,55.2,286515,44,69794,73.9,34845,
RSA06,2016,42.8,336509,53.3,270395,42,40268,73.3,41310,
RSA07,2016,42.6,181600,49.8,135867,37.1,4416,67.2,19328,
RSA08,2016,48.4,243628,58.3,122892,39.2,18458,66.9,2091,
RSA09,2016,44,375797,52.5,225813,38.5,109528,65.5,25730,
RSA10,2016,36.2,66845,56.9,56896,40.6,85068,74.3,13049,
RSA11,2016,38.5,179077,59.8,191486,42,162129,78.3,33625,
RSA12,2016,39.1,424001,60.4,526023,43.7,618155,75.5,58925,
RSA14,2016,33,49980,56.5,76505,39.9,135653,61.2,6823,
RSA15,2016,38.1,58690,55.9,58690,39.5,59531,65.9,8011,
RSA16,2016,20.1,19550,41.7,17705,NA,NA,NA,NA,
RSA01,2015,32.4,121843,40,109917,31.5,26034,55.2,10957,
RSA02,2015,39.8,314995,53.3,338393,33.5,111042,68.9,29378,
RSA03,2015,39.2,136910,44.1,120581,36.4,14405,57.1,19524,
RSA04,2015,41.6,191847,47.9,190396,37.5,58833,63.1,32166,
